bell_curve_freq,switch_wins_counting_list,stay_wins_counting_list,random_wins_counting_list,exp_index,switch_winning_percentages,stay_winning_percentages,random_winning_percentages,stay_winning_percent.,pie_chart_measures,,,trial
32.4,244290,121765,183355,366000,65.8,32.4,49.5,,,,,367
35.2,244955,122117,183900,367000,66.5,35.2,54.5,,,,,368
35.5,245622,122472,184381,368000,66.7,35.5,48.1,,,,,369
34.4,246293,122816,184886,369000,67.1,34.4,50.5,,,,,370
34.6,246957,123162,185402,370000,66.4,34.6,51.6,,,,,371
34.3,247626,123505,185874,371000,66.9,34.3,47.2,,,,,372
33,248290,123835,186376,372000,66.4,33,50.2,,,,,373
35.6,248961,124191,186843,373000,67.1,35.6,46.7,,,,,374
35.4,249627,124545,187341,374000,66.6,35.4,49.8,,,,,375
32.4,250323,124869,187849,375000,69.6,32.4,50.8,,,,,376
32.4,250988,125193,188330,376000,66.5,32.4,48.1,,,,,377
34.6,251666,125539,188832,377000,67.8,34.6,50.2,,,,,378
34.5,252325,125884,189332,378000,65.9,34.5,50,,,,,379
36,253025,126244,189813,379000,70,36,48.1,,,,,380
34.1,253660,126585,190316,380000,63.5,34.1,50.3,,,,,381
32.7,254314,126912,190826,381000,65.4,32.7,51,,,,,382
33.1,254972,127243,191310,382000,65.8,33.1,48.4,,,,,383
31.4,255628,127557,191823,383000,65.6,31.4,51.3,,,,,384
34.4,256290,127901,192317,384000,66.2,34.4,49.4,,,,,385
33.8,256959,128239,192818,385000,66.9,33.8,50.1,,,,,386
33.6,257628,128575,193296,386000,66.9,33.6,47.8,,,,,387
33.4,258298,128909,193801,387000,67,33.4,50.5,,,,,388
34.2,258986,129251,194315,388000,68.8,34.2,51.4,,,,,389
31.1,259680,129562,194816,389000,69.4,31.1,50.1,,,,,390
34.7,260370,129909,195336,390000,69,34.7,52,,,,,391
33.5,261031,130244,195823,391000,66.1,33.5,48.7,,,,,392
34.2,261729,130586,196319,392000,69.8,34.2,49.6,,,,,393
32.9,262407,130915,196822,393000,67.8,32.9,50.3,,,,,394
31.3,263093,131228,197304,394000,68.6,31.3,48.2,,,,,395
32.6,263762,131554,197801,395000,66.9,32.6,49.7,,,,,396
31.7,264415,131871,198295,396000,65.3,31.7,49.4,,,,,397
35.7,265041,132228,198800,397000,62.6,35.7,50.5,,,,,398
34.3,265734,132571,199277,398000,69.3,34.3,47.7,,,,,399
34.6,266427,132917,199789,399000,69.3,34.6,51.2,,,,,400
33,267085,133247,200277,400000,65.8,33,48.8,,,,,401
34,267739,133587,200781,401000,65.4,34,50.4,,,,,402
32.3,268420,133910,201274,402000,68.1,32.3,49.3,,,,,403
